{'lng': 127.81594079, 'alt': 54.354, 'datetime': '2019-09-17 16:24:16.490238', 'lat': 26.379970486}
{'lng': 127.815932874, 'alt': 54.354, 'datetime': '2019-09-17 16:24:18.496462', 'lat': 26.379981031}
{'lng': 127.815924957, 'alt': 54.354, 'datetime': '2019-09-17 16:24:20.500819', 'lat': 26.379991575}
{'lng': 127.815924957, 'alt': 52.098, 'datetime': '2019-09-17 16:24:22.503325', 'lat': 26.379991575}
{'lng': 127.815931101, 'alt': 51.835, 'datetime': '2019-09-17 16:24:24.509552', 'lat': 26.380002829}
{'lng': 127.815931101, 'alt': 52.279, 'datetime': '2019-09-17 16:24:26.513209', 'lat': 26.380010915}
{'lng': 127.815924957, 'alt': 52.987, 'datetime': '2019-09-17 16:24:28.517661', 'lat': 26.380007747}
{'lng': 127.815924957, 'alt': 53.431, 'datetime': '2019-09-17 16:24:30.523725', 'lat': 26.380015833}
{'lng': 127.815924957, 'alt': 53.431, 'datetime': '2019-09-17 16:24:32.528007', 'lat': 26.380023918}
{'lng': 127.815924957, 'alt': 53.431, 'datetime': '2019-09-17 16:24:34.532437', 'lat': 26.380032004}
{'lng': 127.815924957, 'alt': 53.431, 'datetime': '2019-09-17 16:24:36.538535', 'lat': 26.38004009}
{'lng': 127.815924957, 'alt': 53.431, 'datetime': '2019-09-17 16:24:38.542787', 'lat': 26.380048176}
{'lng': 127.815924957, 'alt': 53.431, 'datetime': '2019-09-17 16:24:40.547345', 'lat': 26.380048176}
{'lng': 127.815918814, 'alt': 53.431, 'datetime': '2019-09-17 16:24:42.553362', 'lat': 26.380045008}
{'lng': 127.81592673, 'alt': 56.466, 'datetime': '2019-09-17 16:24:44.557718', 'lat': 26.380042549}
{'lng': 127.81592673, 'alt': 56.466, 'datetime': '2019-09-17 16:24:46.562017', 'lat': 26.380042549}
{'lng': 127.815920586, 'alt': 57.618, 'datetime': '2019-09-17 16:24:48.568185', 'lat': 26.380047466}
{'lng': 127.81592673, 'alt': 57.354, 'datetime': '2019-09-17 16:24:50.572559', 'lat': 26.38005872}
{'lng': 127.81592673, 'alt': 57.799, 'datetime': '2019-09-17 16:24:52.577032', 'lat': 26.380066806}
{'lng': 127.81594079, 'alt': 58.529, 'datetime': '2019-09-17 16:24:54.583169', 'lat': 26.380083687}
{'lng': 127.815946934, 'alt': 58.265, 'datetime': '2019-09-17 16:24:56.587519', 'lat': 26.380094941}
{'lng': 127.815953077, 'alt': 58.265, 'datetime': '2019-09-17 16:24:58.591748', 'lat': 26.38011428}
{'lng': 127.815959221, 'alt': 58.265, 'datetime': '2019-09-17 16:25:00.598037', 'lat': 26.380125534}
{'lng': 127.815971509, 'alt': 58.265, 'datetime': '2019-09-17 16:25:02.602331', 'lat': 26.380148042}
{'lng': 127.815977653, 'alt': 57.393, 'datetime': '2019-09-17 16:25:04.606824', 'lat': 26.380159296}
{'lng': 127.815977653, 'alt': 57.837, 'datetime': '2019-09-17 16:25:06.612864', 'lat': 26.380167382}
{'lng': 127.815969737, 'alt': 57.288, 'datetime': '2019-09-17 16:25:08.617363', 'lat': 26.38016984}
{'lng': 127.815969737, 'alt': 56.844, 'datetime': '2019-09-17 16:25:10.629403', 'lat': 26.380161755}
{'lng': 127.815969737, 'alt': 56.844, 'datetime': '2019-09-17 16:25:12.635575', 'lat': 26.380161755}
{'lng': 127.815969737, 'alt': 56.844, 'datetime': '2019-09-17 16:25:14.639919', 'lat': 26.380161755}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:16.644209', 'lat': 26.380162464}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:18.650023', 'lat': 26.380162464}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:20.653419', 'lat': 26.380162464}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:22.657627', 'lat': 26.380162464}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:24.663502', 'lat': 26.380162464}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:26.667674', 'lat': 26.380162464}
{'lng': 127.815983797, 'alt': 56.844, 'datetime': '2019-09-17 16:25:28.671847', 'lat': 26.380162464}
{'lng': 127.816047953, 'alt': 56.844, 'datetime': '2019-09-17 16:25:30.677960', 'lat': 26.380162842}
{'lng': 127.816040037, 'alt': 56.844, 'datetime': '2019-09-17 16:25:32.682269', 'lat': 26.380165301}
{'lng': 127.816025977, 'alt': 56.844, 'datetime': '2019-09-17 16:25:34.686685', 'lat': 26.380164592}
{'lng': 127.816018061, 'alt': 56.844, 'datetime': '2019-09-17 16:25:36.692613', 'lat': 26.38016705}
{'lng': 127.816018061, 'alt': 56.844, 'datetime': '2019-09-17 16:25:38.697118', 'lat': 26.380175136}
{'lng': 127.816010145, 'alt': 56.844, 'datetime': '2019-09-17 16:25:40.701444', 'lat': 26.380177595}
{'lng': 127.816010145, 'alt': 55.555, 'datetime': '2019-09-17 16:25:42.707561', 'lat': 26.380177595}
{'lng': 127.816016289, 'alt': 55.555, 'datetime': '2019-09-17 16:25:44.711897', 'lat': 26.380180763}
{'lng': 127.816016289, 'alt': 55.555, 'datetime': '2019-09-17 16:25:46.716263', 'lat': 26.380180763}
{'lng': 127.816010145, 'alt': 55.555, 'datetime': '2019-09-17 16:25:48.722139', 'lat': 26.380169509}
{'lng': 127.816002229, 'alt': 55.555, 'datetime': '2019-09-17 16:25:50.726518', 'lat': 26.380171968}
{'lng': 127.816002229, 'alt': 54.562, 'datetime': '2019-09-17 16:25:52.730933', 'lat': 26.380171968}
{'lng': 127.815994312, 'alt': 54.013, 'datetime': '2019-09-17 16:25:54.737126', 'lat': 26.380174427}
{'lng': 127.815994312, 'alt': 54.013, 'datetime': '2019-09-17 16:25:56.741499', 'lat': 26.380174427}
{'lng': 127.815994312, 'alt': 54.013, 'datetime': '2019-09-17 16:25:58.746049', 'lat': 26.380174427}
{'lng': 127.816000456, 'alt': 53.305, 'datetime': '2019-09-17 16:26:00.752058', 'lat': 26.380177595}
{'lng': 127.816008372, 'alt': 53.41, 'datetime': '2019-09-17 16:26:02.756461', 'lat': 26.38016705}
{'lng': 127.816014516, 'alt': 53.146, 'datetime': '2019-09-17 16:26:04.760789', 'lat': 26.380178304}
{'lng': 127.816022432, 'alt': 53.251, 'datetime': '2019-09-17 16:26:06.767007', 'lat': 26.38016776}
{'lng': 127.816028576, 'alt': 52.544, 'datetime': '2019-09-17 16:26:08.771344', 'lat': 26.380170928}
{'lng': 127.81602066, 'alt': 51.994, 'datetime': '2019-09-17 16:26:10.775790', 'lat': 26.380173387}
{'lng': 127.81602066, 'alt': 51.994, 'datetime': '2019-09-17 16:26:12.781797', 'lat': 26.380173387}
{'lng': 127.81602066, 'alt': 51.55, 'datetime': '2019-09-17 16:26:14.786352', 'lat': 26.380165301}
{'lng': 127.81602066, 'alt': 51.106, 'datetime': '2019-09-17 16:26:16.790759', 'lat': 26.380157215}
